IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt1243957	3/30/2021	The Tourist	n	Hulu	NA	Good	8
tt0070034	3/31/2021	Enter the Dragon	n	Netflix	NA	Good +	8.5
tt0367089	4/1/2021	The Squid and the Whale	n	Tubi	NA	Good +	8.5
tt3316948	4/2/2021	American Ultra	n	Hulu	NA	Good	8
tt1675434	4/3/2021	The Intouchables	n	Netflix	NA	Good	8
tt0120741	4/6/2021	Mafia!	n	Hulu	NA	Okay	2
tt7939766	4/7/2021	I'm Thinking of Ending Things	n	Netflix	NA	Good	8
tt5710514	4/8/2021	I don't feel at home in this world anymore	n	Netflix	NA	Good	8
tt0033467	4/11/2021	Citizen Kane	n	Netflix	NA	Good +	8.5
tt10618286	4/11/2021	Mank	n	Netflix	NA	Good +	8.5
tt0384793	4/12/2021	Accepted	n	Netflix	NA	Decent	5
tt6511932	4/13/2021	The Beach Bum	n	Hulu	NA	Okay	2
tt8461224	4/14/2021	The Tax Collector	n	Hulu	NA	Okay -	1.5
tt4158096	4/15/2021	Free Fire	n	Netflix	NA	Decent	5
tt0100802	4/16/2021	Total Recall	n	Netflix	NA	Good	8
tt1077368	4/17/2021	Dark Shadows	n	HBO	NA	Good	8
tt12888462	4/18/2021	My Octopus Teacher	n	Netflix	NA	Good +	8.5
tt1531663	4/18/2021	Everything Must Go	n	Hulu	NA	Good	8
tt10633456	4/19/2021	Minari	n	Stream	NA	Great	10
tt9620292	4/20/2021	Promising Young Woman	n	Stream	NA	Good	8
tt10272386	4/21/2021	The Father	n	Stream	NA	Good +	8.5
tt9770150	4/22/2021	Nomadland	n	Hulu	NA	Good	8
tt1070874	4/23/2021	The Trial of the Chicago 7	n	Netflix	NA	Great	10
tt10514222	4/23/2021	Ma Rainy's Black Bottom	n	Netflix	NA	Good	8
tt9784798	4/24/2021	Judas and the Black Messiah	n	Stream	NA	Good+	8.5
tt8521718	4/24/2021	The United States vs. Billie Holiday	n	Hulu	NA	Good	8
tt11161474	4/25/2021	Pieces of a Woman	n	Netflix	NA	Good	8
tt10288566	4/25/2021	Another Round	n	Hulu	NA	Good+	8.5
tt6193408	4/26/2021	A Shaun the Sheep Movie: Farmageddon	n	Netflix	NA	Good+	8.5
tt10612922	4/27/2021	One Night in Miami	n	Amazon Prime	NA	Great	10
